 Nmax, exp(-5.5), 1/exp(5.5), time
           0   1.0000000000000000        1.0000000000000000        2.9999999999999645E-006
           1  -4.5000000000000000       0.15384615384615385        4.7000000000000167E-005
           2   10.625000000000000        4.6242774566473986E-002   5.7000000000000193E-005
           3  -17.104166666666668        2.0261713803292527E-002   6.1999999999999989E-005
           4   21.023437499999996        1.1430952877087487E-002   6.7999999999999918E-005
           5  -20.916927083333338        7.7266535340385252E-003   7.2000000000000015E-005
           6   17.528407118055551        5.9570803222046154E-003   7.7999999999999944E-005
           7  -12.678641183035719        5.0486049922292154E-003   8.2000000000000042E-005
           8   8.0887045239645303        4.5695096149808174E-003   8.7000000000000272E-005
           9  -4.6024511858689543        4.3190383940395431E-003   9.2000000000000068E-005
          10   2.3776844545394624        4.1926408633477363E-003   9.6000000000000165E-005
          11  -1.1123833656647459        4.1321763753555995E-003   1.0200000000000009E-004
          12  0.48723105192884963        4.1050425004728252E-003   1.0699999999999989E-004
          13 -0.18952889397613304        4.0936697604943119E-003   1.1200000000000012E-004
          14   7.6341084772253043E-002   4.0892191202720274E-003   1.1699999999999992E-004
          15  -2.1144574102155186E-002   4.0875896426367112E-003   1.2200000000000015E-004
          16   1.2366121135922642E-002   4.0870298095869069E-003   1.2699999999999994E-004
          17   1.5244256177209918E-003   4.0868487199601476E-003   1.3299999999999987E-004
          18   4.8371659149492735E-003   4.0867933902194410E-003   1.3699999999999997E-004
          19   3.8782147762779287E-003   4.0867773739951601E-003   1.4200000000000020E-004
          20   4.1419263394125482E-003   4.0867729695554904E-003   1.4700000000000000E-004
          21   4.0728590252582433E-003   4.0867718160133371E-003   1.5200000000000023E-004
          22   4.0901258537968197E-003   4.0867715276279000E-003   1.5700000000000002E-004
          23   4.0859968295810728E-003   4.0867714586661713E-003   1.6200000000000025E-004
          24   4.0869430642971813E-003   4.0867714428624424E-003   1.6800000000000018E-004
          25   4.0867348926596370E-003   4.0867714393856220E-003   1.7199999999999984E-004
          26   4.0867789289675792E-003   4.0867714386501408E-003   1.7800000000000021E-004
          27   4.0867699586085542E-003   4.0867714385003206E-003   1.8199999999999987E-004
          28   4.0867717206433630E-003   4.0867714384708919E-003   1.8700000000000010E-004
          29   4.0867713864643478E-003   4.0867714384653104E-003   1.9199999999999990E-004
          30   4.0867714477305006E-003   4.0867714384642869E-003   1.9700000000000013E-004
          31   4.0867714368606990E-003   4.0867714384641056E-003   2.0199999999999992E-004
          32   4.0867714387289459E-003   4.0867714384640744E-003   2.0700000000000015E-004
          33   4.0867714384175717E-003   4.0867714384640692E-003   2.1199999999999995E-004
          34   4.0867714384679411E-003   4.0867714384640683E-003   2.1700000000000018E-004
          35   4.0867714384600256E-003   4.0867714384640683E-003   2.2199999999999998E-004
          36   4.0867714384612347E-003   4.0867714384640683E-003   2.2700000000000021E-004
          37   4.0867714384610551E-003   4.0867714384640683E-003   2.3099999999999987E-004
          38   4.0867714384610811E-003   4.0867714384640683E-003   2.3600000000000010E-004
          39   4.0867714384610777E-003   4.0867714384640683E-003   2.4099999999999989E-004
          40   4.0867714384610785E-003   4.0867714384640683E-003   2.4600000000000012E-004
          41   4.0867714384610785E-003   4.0867714384640683E-003   2.5099999999999992E-004
          42   4.0867714384610785E-003   4.0867714384640683E-003   2.5600000000000015E-004
          43   4.0867714384610785E-003   4.0867714384640683E-003   2.6099999999999995E-004
          44   4.0867714384610785E-003   4.0867714384640683E-003   2.6600000000000018E-004
          45   4.0867714384610785E-003   4.0867714384640683E-003   2.6999999999999984E-004
          46   4.0867714384610785E-003   4.0867714384640683E-003   3.2099999999999967E-004
          47   4.0867714384610785E-003   4.0867714384640683E-003   3.2799999999999973E-004
          48   4.0867714384610785E-003   4.0867714384640683E-003   3.3300000000000040E-004
          49   4.0867714384610785E-003   4.0867714384640683E-003   3.3800000000000019E-004
          50   4.0867714384610785E-003   4.0867714384640683E-003   3.4299999999999999E-004
          51   4.0867714384610785E-003   4.0867714384640683E-003   3.4799999999999979E-004
          52   4.0867714384610785E-003   4.0867714384640683E-003   3.5300000000000045E-004
          53   4.0867714384610785E-003   4.0867714384640683E-003   3.5700000000000011E-004
          54   4.0867714384610785E-003   4.0867714384640683E-003   3.6300000000000004E-004
          55   4.0867714384610785E-003   4.0867714384640683E-003   3.6699999999999970E-004
          56   4.0867714384610785E-003   4.0867714384640683E-003   3.7299999999999963E-004
          57   4.0867714384610785E-003   4.0867714384640683E-003   3.7700000000000016E-004
          58   4.0867714384610785E-003   4.0867714384640683E-003   3.8300000000000009E-004
          59   4.0867714384610785E-003   4.0867714384640683E-003   3.8699999999999976E-004
          60   4.0867714384610785E-003   4.0867714384640683E-003   3.9299999999999969E-004
          61   4.0867714384610785E-003   4.0867714384640683E-003   3.9700000000000022E-004
          62   4.0867714384610785E-003   4.0867714384640683E-003   4.0200000000000001E-004
          63   4.0867714384610785E-003   4.0867714384640683E-003   4.0699999999999981E-004
          64   4.0867714384610785E-003   4.0867714384640683E-003   4.1200000000000047E-004
          65   4.0867714384610785E-003   4.0867714384640683E-003   4.1700000000000027E-004
          66   4.0867714384610785E-003   4.0867714384640683E-003   4.2099999999999993E-004
          67   4.0867714384610785E-003   4.0867714384640683E-003   4.2699999999999986E-004
          68   4.0867714384610785E-003   4.0867714384640683E-003   4.3100000000000039E-004
          69   4.0867714384610785E-003   4.0867714384640683E-003   4.3700000000000032E-004
          70   4.0867714384610785E-003   4.0867714384640683E-003   4.4099999999999999E-004
          71   4.0867714384610785E-003   4.0867714384640683E-003   4.4599999999999978E-004
          72   4.0867714384610785E-003   4.0867714384640683E-003   4.5100000000000045E-004
          73   4.0867714384610785E-003   4.0867714384640683E-003   4.5600000000000024E-004
          74   4.0867714384610785E-003   4.0867714384640683E-003   4.6100000000000004E-004
          75   4.0867714384610785E-003   4.0867714384640683E-003   4.6599999999999983E-004
          76   4.0867714384610785E-003   4.0867714384640683E-003   4.7199999999999976E-004
          77   4.0867714384610785E-003   4.0867714384640683E-003   4.7600000000000029E-004
          78   4.0867714384610785E-003   4.0867714384640683E-003   4.8100000000000009E-004
          79   4.0867714384610785E-003   4.0867714384640683E-003   4.8599999999999989E-004
          80   4.0867714384610785E-003   4.0867714384640683E-003   4.9000000000000042E-004
          81   4.0867714384610785E-003   4.0867714384640683E-003   4.9600000000000035E-004
          82   4.0867714384610785E-003   4.0867714384640683E-003   5.0000000000000001E-004
          83   4.0867714384610785E-003   4.0867714384640683E-003   5.0599999999999994E-004
          84   4.0867714384610785E-003   4.0867714384640683E-003   5.0999999999999960E-004
          85   4.0867714384610785E-003   4.0867714384640683E-003   5.1600000000000040E-004
          86   4.0867714384610785E-003   4.0867714384640683E-003   5.2000000000000006E-004
          87   4.0867714384610785E-003   4.0867714384640683E-003   5.2399999999999973E-004
          88   4.0867714384610785E-003   4.0867714384640683E-003   5.2999999999999966E-004
          89   4.0867714384610785E-003   4.0867714384640683E-003   5.3400000000000019E-004
          90   4.0867714384610785E-003   4.0867714384640683E-003   5.4000000000000012E-004
          91   4.0867714384610785E-003   4.0867714384640683E-003   5.4399999999999978E-004
          92   4.0867714384610785E-003   4.0867714384640683E-003   5.6999999999999976E-004
          93   4.0867714384610785E-003   4.0867714384640683E-003   5.7599999999999969E-004
          94   4.0867714384610785E-003   4.0867714384640683E-003   5.8100000000000035E-004
          95   4.0867714384610785E-003   4.0867714384640683E-003   5.8600000000000015E-004
          96   4.0867714384610785E-003   4.0867714384640683E-003   5.9099999999999995E-004
          97   4.0867714384610785E-003   4.0867714384640683E-003   5.9599999999999974E-004
          98   4.0867714384610785E-003   4.0867714384640683E-003   6.0000000000000027E-004
          99   4.0867714384610785E-003   4.0867714384640683E-003   6.0500000000000007E-004
         100   4.0867714384610785E-003   4.0867714384640683E-003   6.0999999999999987E-004
         101   4.0867714384610785E-003   4.0867714384640683E-003   6.1499999999999966E-004
         102   4.0867714384610785E-003   4.0867714384640683E-003   6.2000000000000033E-004
         103   4.0867714384610785E-003   4.0867714384640683E-003   6.2500000000000012E-004
         104   4.0867714384610785E-003   4.0867714384640683E-003   6.2999999999999992E-004
         105   4.0867714384610785E-003   4.0867714384640683E-003   6.3499999999999971E-004
         106   4.0867714384610785E-003   4.0867714384640683E-003   6.4000000000000038E-004
